customerID,Churn,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,ChargesMonthly,ChargesTotal,DailyAccounts,Churn_numerico
0082-LDZUE,NO,MALE,0,NO,NO,1,YES,NO,DSL,NO,NO,NO,NO,NO,NO,MONTH-TO-MONTH,YES,MAILED CHECK,44.3,44.3,1.455321944809461,0
0082-OQIQY,NO,MALE,0,NO,NO,29,YES,NO,FIBER OPTIC,NO,NO,NO,YES,YES,YES,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,94.2,2607.6,3.0946123521681996,0
0083-PIVIK,NO,MALE,0,NO,NO,64,YES,YES,DSL,YES,YES,YES,YES,YES,NO,ONE YEAR,NO,ELECTRONIC CHECK,81.25,5567.55,2.669185282522996,0
0089-IIQKO,NO,FEMALE,0,YES,YES,39,YES,YES,FIBER OPTIC,NO,NO,NO,YES,YES,YES,MONTH-TO-MONTH,YES,CREDIT CARD (AUTOMATIC),99.95,3767.4,3.283508541392904,0
0093-EXYQL,NO,FEMALE,1,NO,NO,40,YES,NO,FIBER OPTIC,NO,NO,NO,NO,YES,YES,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,91.55,3673.6,3.007555847568988,0
0093-XWZFY,YES,MALE,0,NO,NO,40,YES,YES,FIBER OPTIC,NO,YES,YES,NO,YES,YES,MONTH-TO-MONTH,YES,CREDIT CARD (AUTOMATIC),104.5,4036.85,3.4329829172141917,1
0094-OIFMO,YES,FEMALE,1,NO,NO,11,YES,NO,FIBER OPTIC,NO,YES,NO,NO,YES,YES,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,95.0,1120.3,3.1208935611038107,1
0096-BXERS,NO,FEMALE,0,YES,NO,6,YES,YES,DSL,NO,NO,NO,NO,NO,NO,MONTH-TO-MONTH,NO,ELECTRONIC CHECK,50.35,314.55,1.6540735873850196,0
0096-FCPUF,NO,MALE,0,NO,NO,30,YES,YES,DSL,YES,NO,NO,NO,NO,YES,MONTH-TO-MONTH,YES,MAILED CHECK,64.5,1888.45,2.11892247043364,0
0098-BOWSO,NO,MALE,0,NO,NO,27,YES,NO,NO,NO,NO,NO,NO,NO,NO,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,19.4,529.8,0.6373193166885676,0
0100-DUVFC,NO,MALE,1,YES,NO,70,YES,YES,FIBER OPTIC,NO,YES,YES,NO,YES,YES,ONE YEAR,YES,ELECTRONIC CHECK,104.8,7308.95,3.442838370565046,0
0103-CSITQ,NO,FEMALE,0,YES,NO,57,YES,YES,FIBER OPTIC,NO,YES,YES,YES,YES,YES,ONE YEAR,YES,BANK TRANSFER (AUTOMATIC),109.4,6252.7,3.5939553219448097,0
0104-PPXDV,NO,MALE,0,YES,NO,58,YES,NO,DSL,NO,NO,YES,NO,NO,NO,ONE YEAR,NO,CREDIT CARD (AUTOMATIC),50.3,2878.55,1.652431011826544,0
0106-GHRQR,NO,MALE,0,NO,NO,16,YES,YES,DSL,NO,YES,YES,NO,NO,YES,MONTH-TO-MONTH,YES,BANK TRANSFER (AUTOMATIC),71.4,1212.1,2.345597897503285,0
0106-UGRDO,NO,FEMALE,0,YES,NO,69,YES,YES,FIBER OPTIC,YES,YES,YES,YES,YES,YES,TWO YEAR,YES,ELECTRONIC CHECK,116.0,8182.85,3.8107752956636003,0
0107-WESLM,YES,MALE,0,NO,NO,1,YES,NO,NO,NO,NO,NO,NO,NO,NO,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,19.85,19.85,0.6521024967148489,1
0107-YHINA,YES,MALE,0,NO,YES,1,YES,YES,FIBER OPTIC,NO,NO,YES,NO,YES,YES,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,99.75,99.75,3.2769382391590014,1
0111-KLBQG,NO,MALE,1,YES,YES,32,YES,NO,FIBER OPTIC,NO,YES,NO,NO,YES,YES,MONTH-TO-MONTH,YES,MAILED CHECK,93.95,2861.45,3.0863994743758214,0
0112-QAWRZ,NO,MALE,0,YES,YES,16,YES,YES,FIBER OPTIC,NO,NO,YES,NO,YES,NO,MONTH-TO-MONTH,YES,BANK TRANSFER (AUTOMATIC),90.8,1442.2,2.9829172141918527,0
0112-QWPNC,YES,MALE,0,YES,NO,49,YES,YES,DSL,YES,NO,YES,YES,YES,YES,ONE YEAR,NO,ELECTRONIC CHECK,84.35,4059.35,2.7710249671484886,1
0114-IGABW,NO,FEMALE,0,YES,NO,71,NO,NO,DSL,NO,YES,YES,YES,YES,YES,TWO YEAR,NO,BANK TRANSFER (AUTOMATIC),58.25,4145.9,1.9136005256241786,0
0114-PEGZZ,NO,FEMALE,0,NO,NO,33,YES,YES,FIBER OPTIC,NO,YES,YES,NO,YES,YES,MONTH-TO-MONTH,NO,ELECTRONIC CHECK,107.55,3645.5,3.5331800262812085,0
0114-RSRRW,NO,FEMALE,0,YES,NO,10,YES,NO,NO,NO,NO,NO,NO,NO,NO,MONTH-TO-MONTH,YES,BANK TRANSFER (AUTOMATIC),19.95,187.75,0.6553876478318003,0
0115-TFERT,YES,MALE,0,YES,NO,21,YES,YES,FIBER OPTIC,NO,YES,YES,YES,YES,YES,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,111.2,2317.1,3.653088042049934,1
0117-LFRMW,YES,MALE,0,YES,YES,37,NO,NO,DSL,YES,YES,YES,NO,NO,NO,MONTH-TO-MONTH,NO,BANK TRANSFER (AUTOMATIC),40.2,1448.8,1.3206307490144547,1
0118-JPNOY,NO,FEMALE,1,NO,NO,26,YES,NO,FIBER OPTIC,YES,NO,NO,NO,YES,NO,MONTH-TO-MONTH,YES,CREDIT CARD (AUTOMATIC),85.8,2193.65,2.818659658344284,0
0121-SNYRK,NO,MALE,0,NO,NO,50,NO,NO,DSL,YES,NO,NO,YES,NO,NO,ONE YEAR,YES,MAILED CHECK,35.4,1748.9,1.1629434954007885,0
0122-OAHPZ,YES,FEMALE,0,NO,NO,7,YES,YES,FIBER OPTIC,NO,NO,NO,NO,NO,NO,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,73.85,511.25,2.4260840998685937,1
0123-CRBRT,NO,FEMALE,0,YES,YES,61,YES,YES,DSL,YES,YES,YES,YES,YES,YES,TWO YEAR,NO,MAILED CHECK,88.1,5526.75,2.894218134034165,0
0125-LZQXK,YES,MALE,0,NO,NO,15,YES,NO,FIBER OPTIC,NO,NO,YES,YES,YES,YES,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,101.35,1553.95,3.329500657030223,1
0128-MKWSG,NO,FEMALE,0,NO,YES,26,NO,NO,DSL,YES,NO,NO,YES,NO,YES,MONTH-TO-MONTH,NO,MAILED CHECK,45.8,1147.0,1.5045992115637317,0
0129-KPTWJ,NO,MALE,0,YES,NO,72,YES,NO,FIBER OPTIC,NO,NO,YES,NO,YES,YES,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,94.65,6747.35,3.109395532194481,0
0129-QMPDR,NO,MALE,0,YES,YES,44,YES,NO,NO,NO,NO,NO,NO,NO,NO,ONE YEAR,YES,BANK TRANSFER (AUTOMATIC),20.5,865.05,0.6734559789750328,0
0130-SXOUN,NO,MALE,0,NO,NO,66,YES,YES,FIBER OPTIC,NO,YES,NO,NO,NO,YES,MONTH-TO-MONTH,NO,CREDIT CARD (AUTOMATIC),89.4,5976.9,2.9369250985545334,0
0133-BMFZO,YES,FEMALE,0,NO,NO,2,YES,NO,FIBER OPTIC,YES,YES,NO,YES,NO,NO,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,86.25,181.65,2.8334428383705648,1
0134-XWXCE,NO,FEMALE,1,NO,NO,44,YES,NO,DSL,NO,NO,YES,YES,YES,YES,ONE YEAR,NO,BANK TRANSFER (AUTOMATIC),74.85,3268.05,2.4589356110381075,0
0135-NMXAP,YES,FEMALE,0,NO,NO,12,YES,YES,FIBER OPTIC,NO,YES,NO,NO,YES,NO,MONTH-TO-MONTH,YES,BANK TRANSFER (AUTOMATIC),89.75,1052.4,2.948423127463863,1
0136-IFMYD,NO,MALE,1,YES,NO,69,YES,YES,FIBER OPTIC,NO,YES,YES,YES,YES,YES,TWO YEAR,YES,ELECTRONIC CHECK,109.95,7634.25,3.612023653088042,0
0137-OCGAB,YES,FEMALE,0,NO,NO,1,YES,YES,FIBER OPTIC,NO,YES,NO,NO,NO,NO,MONTH-TO-MONTH,YES,MAILED CHECK,80.2,80.2,2.6346911957950065,1
0137-UDEUO,YES,FEMALE,0,NO,NO,3,YES,NO,NO,NO,NO,NO,NO,NO,NO,MONTH-TO-MONTH,NO,MAILED CHECK,19.85,63.75,0.6521024967148489,1
0139-IVFJG,NO,FEMALE,0,YES,NO,2,YES,NO,FIBER OPTIC,YES,YES,NO,NO,YES,NO,MONTH-TO-MONTH,NO,ELECTRONIC CHECK,90.35,190.5,2.9681340341655713,0
0141-YEAYS,NO,FEMALE,1,NO,NO,27,YES,YES,FIBER OPTIC,NO,YES,YES,NO,NO,NO,MONTH-TO-MONTH,YES,BANK TRANSFER (AUTOMATIC),86.45,2401.05,2.840013140604468,0
0142-GVYSN,NO,MALE,0,NO,NO,26,YES,NO,NO,NO,NO,NO,NO,NO,NO,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,20.3,511.25,0.6668856767411301,0
0147-ESWWR,NO,FEMALE,1,YES,NO,39,YES,YES,FIBER OPTIC,NO,NO,NO,YES,YES,YES,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,101.25,3949.15,3.326215505913272,0
0148-DCDOS,YES,MALE,0,NO,NO,25,YES,YES,FIBER OPTIC,NO,NO,NO,NO,YES,YES,MONTH-TO-MONTH,YES,BANK TRANSFER (AUTOMATIC),94.7,2362.1,3.1110381077529565,1
0151-ONTOV,YES,FEMALE,0,NO,NO,1,YES,NO,FIBER OPTIC,NO,NO,NO,NO,NO,NO,MONTH-TO-MONTH,NO,MAILED CHECK,70.9,70.9,2.3291721419185283,1
0156-FVPTA,YES,MALE,0,YES,NO,22,YES,NO,DSL,YES,NO,NO,YES,NO,NO,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,54.2,1152.7,1.780551905387648,1
0164-APGRB,NO,FEMALE,0,NO,NO,72,YES,YES,FIBER OPTIC,YES,YES,YES,YES,YES,YES,TWO YEAR,YES,ELECTRONIC CHECK,114.9,8496.7,3.7746386333771356,0
0164-XAIRP,NO,FEMALE,0,NO,NO,24,YES,NO,NO,NO,NO,NO,NO,NO,NO,TWO YEAR,YES,BANK TRANSFER (AUTOMATIC),19.55,470.2,0.6422470433639947,0
0168-XZKBB,NO,FEMALE,0,YES,NO,19,YES,YES,FIBER OPTIC,NO,NO,NO,NO,YES,NO,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,86.85,1564.4,2.853153745072273,0
0174-QRVVY,NO,MALE,0,YES,YES,71,YES,YES,NO,NO,NO,NO,NO,NO,NO,TWO YEAR,NO,CREDIT CARD (AUTOMATIC),25.35,1847.55,0.8327858081471747,0
0177-PXBAT,NO,MALE,1,YES,NO,33,YES,YES,FIBER OPTIC,YES,NO,YES,YES,YES,YES,MONTH-TO-MONTH,YES,BANK TRANSFER (AUTOMATIC),109.9,3694.7,3.6103810775295666,0
0178-CIIKR,NO,FEMALE,0,NO,NO,3,YES,NO,NO,NO,NO,NO,NO,NO,NO,MONTH-TO-MONTH,NO,MAILED CHECK,19.95,58.0,0.6553876478318003,0
0178-SZBHO,NO,MALE,0,YES,YES,47,YES,YES,FIBER OPTIC,NO,YES,NO,NO,YES,NO,MONTH-TO-MONTH,NO,ELECTRONIC CHECK,87.2,4017.45,2.864651773981603,0
0181-RITDD,NO,MALE,0,YES,YES,62,YES,NO,FIBER OPTIC,YES,YES,YES,YES,YES,YES,TWO YEAR,NO,MAILED CHECK,108.15,6825.65,3.5528909329829172,0
0186-CAERR,NO,MALE,0,NO,NO,71,YES,YES,FIBER OPTIC,YES,YES,YES,YES,YES,YES,ONE YEAR,YES,BANK TRANSFER (AUTOMATIC),116.3,8309.55,3.8206307490144544,0
0187-QSXOE,NO,MALE,1,YES,NO,7,YES,NO,FIBER OPTIC,NO,NO,NO,NO,YES,YES,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,89.0,605.45,2.923784494086728,0
0187-WZNAB,NO,FEMALE,0,YES,YES,27,YES,NO,FIBER OPTIC,YES,NO,NO,NO,NO,NO,MONTH-TO-MONTH,NO,MAILED CHECK,74.4,1972.35,2.4441524310118266,0
0188-GWFLE,NO,MALE,0,NO,NO,2,YES,NO,NO,NO,NO,NO,NO,NO,NO,MONTH-TO-MONTH,NO,MAILED CHECK,20.05,33.7,0.6586727989487516,0
0191-EQUUH,NO,FEMALE,0,NO,YES,25,NO,NO,DSL,YES,NO,NO,YES,NO,NO,TWO YEAR,NO,BANK TRANSFER (AUTOMATIC),35.05,844.45,1.1514454664914584,0
0191-ZHSKZ,NO,MALE,1,NO,NO,30,YES,NO,DSL,YES,YES,NO,NO,YES,YES,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,74.75,2111.3,2.455650459921156,0
0193-ESZXP,YES,FEMALE,1,YES,NO,58,YES,NO,FIBER OPTIC,YES,YES,NO,YES,YES,YES,ONE YEAR,YES,CREDIT CARD (AUTOMATIC),105.5,6205.5,3.4658344283837055,1
0195-IESCP,YES,MALE,0,YES,NO,10,YES,YES,FIBER OPTIC,NO,NO,NO,NO,NO,YES,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,85.25,855.3,2.800591327201051,1
0196-JTUQI,NO,FEMALE,0,NO,NO,9,YES,YES,FIBER OPTIC,NO,NO,NO,NO,NO,NO,MONTH-TO-MONTH,YES,CREDIT CARD (AUTOMATIC),75.2,633.85,2.4704336399474376,0
0196-VULGZ,YES,FEMALE,1,YES,NO,6,YES,YES,FIBER OPTIC,NO,NO,NO,NO,NO,YES,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,84.35,474.9,2.7710249671484886,1
0197-PNKNK,NO,FEMALE,0,YES,YES,69,YES,YES,FIBER OPTIC,YES,NO,YES,NO,NO,NO,ONE YEAR,NO,BANK TRANSFER (AUTOMATIC),84.45,5848.6,2.7743101182654404,0
0201-MIBOL,NO,FEMALE,1,NO,NO,66,YES,YES,FIBER OPTIC,YES,NO,NO,NO,YES,YES,TWO YEAR,YES,BANK TRANSFER (AUTOMATIC),102.4,6471.85,3.3639947437582127,0
0201-OAMXR,YES,FEMALE,0,NO,NO,70,YES,YES,FIBER OPTIC,YES,YES,YES,YES,YES,YES,ONE YEAR,NO,CREDIT CARD (AUTOMATIC),115.55,8127.6,3.795992115637319,1
0203-HHYIJ,YES,MALE,0,NO,NO,25,YES,YES,NO,NO,NO,NO,NO,NO,NO,ONE YEAR,NO,BANK TRANSFER (AUTOMATIC),25.3,676.35,0.831143232588699,1
0206-OYVOC,NO,FEMALE,0,YES,YES,46,YES,NO,NO,NO,NO,NO,NO,NO,NO,TWO YEAR,YES,MAILED CHECK,19.25,864.2,0.6323915900131406,0
0206-TBWLC,NO,FEMALE,0,YES,NO,54,YES,YES,FIBER OPTIC,YES,YES,YES,YES,YES,YES,ONE YEAR,YES,MAILED CHECK,114.65,6049.5,3.766425755584757,0
0207-MDKNV,YES,FEMALE,0,NO,NO,15,YES,NO,FIBER OPTIC,YES,NO,YES,YES,YES,YES,MONTH-TO-MONTH,NO,ELECTRONIC CHECK,105.1,1582.75,3.4526938239159,1
0208-BPQEJ,NO,FEMALE,0,YES,YES,12,YES,NO,NO,NO,NO,NO,NO,NO,NO,MONTH-TO-MONTH,NO,BANK TRANSFER (AUTOMATIC),19.4,198.1,0.6373193166885676,0
0212-ISBBF,NO,FEMALE,0,NO,NO,22,NO,NO,DSL,NO,YES,NO,NO,YES,YES,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,50.35,1098.85,1.6540735873850196,0
0214-JHPFW,NO,FEMALE,0,YES,NO,70,NO,NO,DSL,NO,YES,YES,YES,YES,YES,TWO YEAR,NO,BANK TRANSFER (AUTOMATIC),57.8,4039.3,1.8988173455978974,0
0215-BQKGS,NO,MALE,0,NO,NO,30,YES,NO,FIBER OPTIC,YES,YES,YES,NO,NO,NO,MONTH-TO-MONTH,YES,CREDIT CARD (AUTOMATIC),84.3,2438.6,2.769382391590013,0
0218-QNVAS,NO,MALE,0,YES,YES,71,YES,YES,FIBER OPTIC,NO,YES,NO,NO,YES,YES,ONE YEAR,NO,BANK TRANSFER (AUTOMATIC),100.55,7113.75,3.303219448094612,0
0219-QAERP,NO,MALE,0,YES,NO,30,YES,NO,NO,NO,NO,NO,NO,NO,NO,ONE YEAR,NO,CREDIT CARD (AUTOMATIC),19.8,576.65,0.6504599211563732,0
0219-YTZUE,YES,MALE,0,YES,YES,4,YES,YES,FIBER OPTIC,NO,YES,YES,NO,NO,NO,MONTH-TO-MONTH,YES,BANK TRANSFER (AUTOMATIC),84.8,371.9,2.78580814717477,1
0220-EBGCE,YES,MALE,0,NO,NO,2,YES,NO,FIBER OPTIC,NO,NO,YES,NO,NO,YES,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,85.85,167.3,2.8203022339027592,1
0221-NAUXK,NO,MALE,0,NO,YES,10,YES,NO,NO,NO,NO,NO,NO,NO,NO,ONE YEAR,YES,BANK TRANSFER (AUTOMATIC),19.95,219.5,0.6553876478318003,0
